Experiment,Optimizer,Learning_Rate,Batch_Size,Accuracy,Precision,Recall,F1,Execution_Time,Fold_Number
54,Adam,0.0001,32,0.9809523809523809,0.9802104899930987,0.9829234257805686,0.9804486163423805,406.97489380836487,4
45,AdamW,0.001,32,0.9023809523809524,0.9077525815972478,0.9120921873022715,0.9040141974314435,408.86574268341064,5
59,AdamW,0.0001,32,0.9785714285714285,0.9783306669176233,0.9803547108390925,0.9787245350343257,413.2746636867523,4
30,AdamW,0.01,32,0.7833333333333333,0.801667017576356,0.8099146295963067,0.7859561844531613,412.7643723487854,5
48,SGD,0.0001,32,0.9642857142857143,0.9641926265455677,0.963816605364593,0.962905316501032,418.0308701992035,3


39,Adam,0.001,32,0.9380952380952381,0.936411421769478,0.9396856550126554,0.9366566192411327,416.9720902442932,4

43,AdamW,0.001,32,0.8833333333333333,0.8844688592304595,0.8979813642628769,0.8846096712117616,422.13499546051025,3
27,AdamW,0.01,32,0.7857142857142857,0.7760145573380868,0.7808589663049341,0.7693148526804001,421.95066261291504,2
50,SGD,0.0001,32,0.9714285714285714,0.9747249060654857,0.9736008039579467,0.9726518494740275,421.864816904068,5
29,AdamW,0.01,32,0.7928571428571428,0.7956192395429396,0.8118699005155076,0.79032660420031,409.49573945999146,4
33,SGD,0.001,32,0.9761904761904762,0.9789816532673674,0.975181789211749,0.9767576586660034,422.92232608795166,3
44,AdamW,0.001,32,0.9285714285714286,0.928702594491171,0.9394079866648384,0.9287906205709969,418.9453237056732,4
42,AdamW,0.001,32,0.9333333333333333,0.9320696763553904,0.9343859984380724,0.9313174708057378,432.6755132675171,2
57,AdamW,0.0001,32,0.9833333333333333,0.9818293479007765,0.9839089983819614,0.9825174030861341,428.0091860294342,2
35,SGD,0.001,32,0.9809523809523809,0.9827280992912462,0.9829931972789115,0.9823691763541388,441.94396328926086,5
36,Adam,0.001,32,0.9357142857142857,0.9340396025757126,0.9389262372872292,0.9337320659935936,450.82708644866943,1
38,Adam,0.001,32,0.8785714285714286,0.8873639220223069,0.9062793903379116,0.8763738677214322,471.48876953125,3
2,SGD,0.1,32,0.7333333333333333,0.7239997508838728,0.7212100019693011,0.7171707275188288,522.1037702560425,2
16,SGD,0.01,32,0.9761904761904762,0.9732948735049574,0.9767009397199001,0.973051703937277,526.7174623012543,1
