Experiment,Optimizer,Learning_Rate,Batch_Size,Accuracy,Precision,Recall,F1,Execution_Time,Fold_Number
44,AdamW,0.001,32,0.75,0.7658672363915331,0.7538325213651224,0.751822013488433,1794.4892942905426,4
31,SGD,0.001,32,0.9333333333333333,0.9311990753532587,0.9308672144756122,0.9286498731478994,1896.4082334041595,1
33,SGD,0.001,32,0.9452380952380952,0.9469927726842231,0.944430912850453,0.9432507500386023,1891.2890565395355,3
37,Adam,0.001,32,0.7547619047619047,0.7479475382213847,0.7556341396607823,0.7442851386380239,1906.5003941059113,2
39,Adam,0.001,32,0.7309523809523809,0.7485890989279737,0.739435207835573,0.7355123971618306,1920.493796825409,4
55,Adam,0.0001,32,0.85,0.8565609352710256,0.8551224823116876,0.8534929774401243,1919.1812036037445,5
58,AdamW,0.0001,32,0.9023809523809524,0.9070558174284881,0.8969362403313661,0.8976305584216979,1934.3190710544586,3
40,Adam,0.001,32,0.7238095238095238,0.7349298627447804,0.7227628781429358,0.7239628867648124,1937.8098533153534,5
26,AdamW,0.01,32,0.5928571428571429,0.5781789005254478,0.6194743288485012,0.5670973790882761,1939.0074172019958,1
59,AdamW,0.0001,32,0.8761904761904762,0.886494618544917,0.8851826608236335,0.882013363429834,1949.186829328537,4
8,Adam,0.1,32,0.4738095238095238,0.46536166322885364,0.4924286424338905,0.45811208561616884,1956.6173212528229,3
18,SGD,0.01,32,0.9238095238095239,0.9281889540046281,0.9192564194306634,0.9217079975256869,1956.7423837184906,3
2,SGD,0.1,32,0.6190476190476191,0.6135562761344127,0.6099060464935191,0.6049003536268779,1961.719990491867,2
17,SGD,0.01,32,0.9214285714285714,0.9173773448773446,0.9194137396837551,0.9167338001354152,2027.0998229980469,2
22,Adam,0.01,32,0.5571428571428572,0.559252932078378,0.5906442144161427,0.5292388708908122,2069.1749427318573,2
10,Adam,0.1,32,0.48095238095238096,0.5045505595083344,0.49510093635709396,0.45871383011774003,2068.457275867462,5
53,Adam,0.0001,32,0.8928571428571429,0.8962083455726131,0.8945895659344723,0.8923051598605279,2089.6422488689423,3
35,SGD,0.001,32,0.919047619047619,0.9247961432220995,0.9248495266467617,0.9229000427096758,2183.3950707912445,5
56,AdamW,0.0001,32,0.8904761904761904,0.8892915871009283,0.8897598079520277,0.8870492848157377,1970.604650259018,1
34,SGD,0.001,32,0.9476190476190476,0.9489363918264173,0.9504895336736768,0.9490774365350797,1970.5475194454193,4
20,SGD,0.01,32,0.9,0.9048766891820177,0.9088479524529367,0.9049292572008278,2000.5046501159668,5
57,AdamW,0.0001,32,0.8809523809523809,0.87561808171789,0.8755057798262036,0.8724182410441963,1909.1005573272705,2
29,AdamW,0.01,32,0.5023809523809524,0.49999957732268063,0.530117175192403,0.49790687163378766,1953.4333899021149,4
32,SGD,0.001,32,0.9333333333333333,0.9326922486166183,0.9307827328151751,0.9307091857280525,2295.428436279297,2
52,Adam,0.0001,32,0.861904761904762,0.8577691879516293,0.8595304205998541,0.8564077923818022,2303.906266450882,2
7,Adam,0.1,32,0.4642857142857143,0.45827087187878873,0.5017071039830929,0.4490262209268086,2400.400868177414,2
43,AdamW,0.001,32,0.719047619047619,0.7228708940756804,0.7132919064196265,0.7116897523382916,2430.9983129501343,3
60,AdamW,0.0001,32,0.8595238095238096,0.8703176917239248,0.8648856180388014,0.8656261504709108,2649.855877161026,5
25,Adam,0.01,32,0.5357142857142857,0.5626130111337695,0.5463109425892584,0.5410175319125609,2672.033465385437,5
27,AdamW,0.01,32,0.5428571428571428,0.5402474273423705,0.6003804084675817,0.5219911744298835,2509.87598156929,2
3,SGD,0.1,32,0.6214285714285714,0.6268740958428571,0.6160866192431679,0.6103751116780943,2796.0029051303864,3
46,SGD,0.0001,32,0.9428571428571428,0.9424413859774962,0.9417870580726571,0.9389524244888008,2804.7433047294617,1
49,SGD,0.0001,32,0.9380952380952381,0.9437586066486322,0.9418080462593921,0.9418159925078908,2844.9913713932037,4
45,AdamW,0.001,32,0.7119047619047619,0.7328001884324756,0.7177262913377497,0.7194746176044592,2866.4202177524567,5
48,SGD,0.0001,32,0.9380952380952381,0.9345031521273758,0.9361725863480249,0.9330420717157095,2871.9290778636932,3
13,AdamW,0.1,32,0.3976190476190476,0.4014340944985812,0.43964602157169236,0.35801803075497274,3020.8240723609924,3
15,AdamW,0.1,32,0.4142857142857143,0.43248292650085174,0.5101513671486397,0.4027749305936562,3033.269305229187,5
47,SGD,0.0001,32,0.9095238095238095,0.9032499560164311,0.906195708480096,0.9039430145531729,3114.3962070941925,2
28,AdamW,0.01,32,0.5571428571428572,0.5532263508085576,0.571320419758433,0.5370592262601162,3149.957094192505,3
9,Adam,0.1,32,0.43333333333333335,0.4343719125432681,0.5020317497526146,0.4029960588995822,3450.394063472748,4
30,AdamW,0.01,32,0.530952380952381,0.5601700722203065,0.5489219519239421,0.5392554012960843,1983.2962715625763,5
11,AdamW,0.1,32,0.39285714285714285,0.39190686127721813,0.4766758741474793,0.340943962484854,3607.1844017505646,1
6,Adam,0.1,32,0.4857142857142857,0.4710612227053585,0.5202152236426877,0.4467204151068505,3718.1766386032104,1
5,SGD,0.1,32,0.5547619047619048,0.5761832936797521,0.5627329992551634,0.5637993240634641,3587.1877114772797,5
23,Adam,0.01,32,0.5428571428571428,0.5385697555600735,0.5429056755523278,0.5196832581605703,3424.413621902466,3
1,SGD,0.1,32,0.638095238095238,0.6201198292904542,0.6211164913839584,0.6157349507061468,3682.2617044448853,1
4,SGD,0.1,32,0.5738095238095238,0.5810343549601862,0.580862408832715,0.575690690818208,1512.6943533420563,4
